,count,hate_speech,offensive_language,neither,class,tweet
779,3,0,1,2,2,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost
11736,3,0,0,3,2,I've pretty much eaten an entire box of my nephew's cheese nips. I only feel bad a little.
23160,6,0,6,0,1,When a real niggah want you
17833,6,1,5,0,1,RT @SteveStfler: After I fuck your bitch http://t.co/kqMBzM7h8Y
18674,3,0,3,0,1,RT @_ConnerJay: Ho ho ho bitches Merry 4 months-ish until Christmas. http://t.co/4JCiu8vHzV
9759,3,0,0,3,2,"Good morning Twitter. Make today a positive one. If you can't do that, beat up as many meanie-faces as possible. Also, I hate flappy bird."
9094,3,0,3,0,1,Drake was singing that shit so bitches would buy NWTS...lmao. Nobody even remembers that album
11251,3,2,1,0,0,"I think dat @Miss_Facetious called me a nigger!
What do move away from da dark side mean?"
21465,3,1,2,0,1,Some Army females just bitch about everything ..
4063,3,0,3,0,1,"@Liveitupjersey Breeding a Nation of Pussies, now how the hell is a Man, a Man...IF HE's A PUSSY!
I'm concerned, WE have pussies &amp; psycho's!"
14622,3,0,3,0,1,"RT @BYEjaliee5SOS: Fine then don't rt little nigs 
#mtvhottest one direction"
6415,3,2,1,0,0,"@jdickerson @ScottPelley @bobschieffer all racist nTx trash w @NorahODonnell all hate to see this particular man in WH n not the ""Butler"""
3817,3,1,2,0,1,@JuliaDBrock Are we still talking about animals? I know some Asian folks that would love to see how you prepare your pussy before eating it.
14123,3,0,1,2,2,People be so angry tonight on dis here tweeter. It hard for a colored man to see all dis anger. Like bein in a waffle house in Mississippi
7796,6,0,6,0,1,All d messy hoes sleep
17909,3,1,2,0,1,RT @TAXSTONE: Shout out to all them bitches who don't own no designer shit and still look better than all YALL bitches with everything desi&#8230;
17690,3,1,2,0,1,RT @SheswantstheD: trying so hard to resist the urge to smack a bitch http://t.co/Cvnlm1I3Ls
16079,3,2,1,0,0,RT @JManziel2: &#8220;@RealZachK0enn: @JManziel2 You're a faggot&#8221;you're a Texas fan...
9200,3,0,3,0,1,Errrnigga tryna fuck the next nigga bitch not knowin his bitch is the next nigga bitch
12069,3,0,3,0,1,Im wit yo bitch smokin. Let her keep the mid Imma roll this potent
24641,3,0,3,0,1,late upload bitches
23200,3,1,2,0,1,When niggas say they like Latinas they don't mean you fat bitches that smell like fajitas
11445,3,0,3,0,1,"I'd shut the fuck up or I'll just be wide and batter any boy you ever go out with haha. Im a cunt, so wit? You cani do shit to stop me... :)"
7966,3,0,3,0,1,And my mom was really getting me a car smh hoe f u for dat
17776,3,1,2,0,1,"RT @Soy_Brent: steal a nigga's bitch, don't steal a nigga's tweets."
10366,3,0,3,0,1,I can be very vengeful. Don't be a cunt.
3698,3,0,3,0,1,"@Jalenhendricks4 hoes saying ""eyebrows on fleek"" .. Search it on twitter"
3117,3,1,2,0,1,"@DizzyBala @jmattear awww, dis sellout nigguh still talking."
19292,3,0,0,3,2,"RT @delphrano: Berto couldn't KO this dude who wanted to get KO'd&#8230;Berto's trash, Upsher's trash, that fight was trash. #BronerTaylor #Boxing"
7205,6,0,6,0,1,@septemberTHA15 @CallMeRenee_ Wussup bitch
7133,3,0,3,0,1,"@rniXX oh yeah and fuck the Lakers too, bitch boi!"
5650,3,1,2,0,1,@alexisxisabel death to attention hoes
5786,3,0,3,0,1,"@bjohnson613 This is why I follow and love you, Bill. I may bitch at you, but I'll never quit you."
4024,3,0,3,0,1,@LessonswithKate - I'm jst fckn w/ you.&#128514; I've always wanted to jigg hella good too. we jst not wild enough to be in the circle cuz.&#128557;
5541,3,0,3,0,1,"@__baabyshaay okaaaaay bitch never do we care , edges still laid. &#128514;"
8606,3,0,3,0,1,"Cancer is a hoe y'all pray for the people who have it. http://t.co/4XgEQMrZq5"""
21267,3,1,2,0,1,Shouts out to my down ass bitches who never give a nigga a hard time!
20399,3,0,3,0,1,RT @sadiiex_: @Vnxthny I am taking you serious.... Kik me back nigger
9815,3,0,0,3,2,Gotta bad red bone that look something like Ashanti
9221,3,0,3,0,1,Every Psychology class has that annoying cunt who relates everything to herself just bc she has ADD and her parents got divorced #NoOneCares
316,3,0,3,0,1,"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;"
18960,3,0,3,0,1,"RT @alwayznpolo: years of eating and still no beard, more of mythology. RT @willyroast2 When you eat pussy it helps Yo beard grow this is s&#8230;"
7044,3,3,0,0,0,@pombuenaa I'm surprised you could read it with slits for eyes
7648,3,0,3,0,1,"A hoe nigga will not be tolerated,"
4217,3,1,2,0,1,@Midnight_Snacka bitch am dumb bitch am smarter than yo fat Peter Griffin looking ass
210,3,0,3,0,1,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
6972,3,0,0,3,2,@npratc Explains why they're waving trash bags around over their heads.
21660,3,0,3,0,1,Stupid bitches deserve to be treated like a stupid bitch
20946,3,0,1,2,2,Really craving my arroz con pollo y habichuelas right now
22530,3,0,3,0,1,This ignorant bitch on msnbc said police have no training on their weapons. SMH
22038,3,0,3,0,1,The last time your pussy was salmon pink was. ....
11688,3,0,3,0,1,I'm sorry.. I'm sorry.. I can't fuc wit u no mo hoe.. and I'm sorry &#128514;
13342,3,2,1,0,0,My doctor tonight is such a miserable cunt. Even my nurse is pissed off. She's been here since 7PM and hasn't come to see me once.
11079,3,3,0,0,0,I never had any friends the entire time I lived in #Virginia. No one was cool to me. I hope those white trash Southerners all die.
18993,3,0,0,3,2,"RT @arlingtondems: Hey Arlington Democrats! For you early birds, join us @BusboysAndPoets tomorrow. It's the Second Saturday of April. http&#8230;"
21065,3,0,1,2,2,"Saw brownies on the kitchen counter, bit into one and immediately a surge of pain and spice hit my tongue. Chili flakes. Eff you, Brian."
22433,3,0,3,0,1,This bitch instating and driving...&#128591; for me
15271,3,0,0,3,2,RT @DamnFoodPorn: Oreo Cookie Pancakes #FoodPorn http://t.co/q6EvCvM3sO
2508,3,0,0,3,2,@Anotherpotheadd lucky monkey
7870,3,0,3,0,1,All you bitches can keep getting jealous. I loveeee ittttt
16142,3,0,3,0,1,RT @Jaydillz: RT if you a hoe
9191,3,0,3,0,1,Emd hoe
21686,3,0,0,3,2,Sunday's are the day to chug through while everyone else around you is obsessing with what their fave football team does and fantasy league.
17810,3,0,3,0,1,RT @SteadmanTerri: @wheeler_kashhh tf bitch!!??? Lol
12850,3,0,1,2,2,Lmaoooooo @ Supreme being trash. Guess Bape is trash to huh?
10240,3,0,1,2,2,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.

I miss my ""baby bird""! Come home, 18!
@somehoee"
14438,3,0,3,0,1,"RT @A_Mitchellll13: ""@10Longdong: Uni suuuucks!! Lolol"" you suck bitch"
20220,3,0,1,2,2,RT @ochocinco: If your girl didn't camp out overnight to buy you the iPhone 6 your pee pee is trash...
6457,6,0,6,0,1,@johnwells__ fuck it hoes will be hoes.
529,3,1,2,0,1,"""Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?"""
3950,3,1,2,0,1,@KingUlyssesIV @truebake psh if a (sexy) bitch gotta sexy voice she can easily get shit goin
23317,3,0,1,2,2,Whoops bought snuggly hideous fuzzy boots because it's cold as balls all of a sudden
7628,3,0,3,0,1,A bitch who can't keep a man RT @SoloDahSystem: Which one of you air headed bitches made this? http://t.co/aEMkmikoyf
20426,3,0,3,0,1,"RT @schoolfession: ""My ex girlfriends telling people I sell pills and coke. Retweet if she's a bitch."" - Durant HS"
13057,6,1,2,3,2,Man talk to em RT @StraightCash08: Of course nothing is wrong with applebee&#8217;s if you like trash food.
15957,3,0,2,1,1,RT @IamRicoLove: These hoes turn into contortionist just so u can see their ass &amp; their smile in the same picture. Smh! It's hard work thir&#8230;
12931,3,0,3,0,1,Lol stop fuckin wit dem birds. RT @Drako_713 Fuck y'all hoes all y'all do is lie
18930,3,0,0,3,2,RT @ahmadblack35: Can someone find the Georgia fan who talked trash to me and told me he hope we don't end up like Tennessee? Tell him I'm &#8230;
2512,3,1,0,2,2,"@AnthonyCumia Enjoy it,I'm happy for you,but I hate the Yankees,and yes the Sox did choke"
5229,3,0,3,0,1,"@UptownRaised Shame that your mama didn't teach you not to call women ""bitch"". Well, we all ain't that fortunate, I guess."
18182,3,1,2,0,1,"RT @TimRaw: Was crazy about her.

Got to know her.

She was a bitch.

Felt betrayed by my judgment."
23307,3,0,3,0,1,Who's got the baddest pussy on the planet
8540,3,0,3,0,1,Can I have a bad bitch without no flawwssss
514,3,0,3,0,1,"""If you talk back to me you ain't getting no pussy.""
Me: http://t.co/vgnwcFgvSJ"
7540,3,0,3,0,1,@xHollywoodCourt bitch I asked you a question
11296,3,0,3,0,1,I wanna cut my hair but I'm too busy being a bitch about it.
6456,3,2,1,0,0,"@joh2guy I LOVE RACISM! ""Blame whitey"" for EVERYTHING!
Now that you mention it! I bet the white man put the Desert tortoise on #BundyRanch"
23305,3,0,3,0,1,Who's a thottie? Yous a thottie! Who's a thottie? Yous a thottie! Yes YOU BITCH! Womp womp. &#128514;&#128514;&#128514; Lord save these parched hoes
9695,6,1,5,0,1,"Girls be tripping with that ""you got hoes"" shit, I do know other girls that are my friends!"
24291,3,0,0,3,2,"even nature looks awesome when colored in #663399Becca

http://t.co/8B0fTjGost"
18913,3,0,3,0,1,RT @_xCallMeZiaa: Lil stupid ass bitch.. i aint fucking with YOU &#128514;
20149,3,0,0,3,2,RT @moosedaugherty: Free bird!!!
19409,3,0,3,0,1,"RT @fOREiGNCRAZi: Nosey ass hoes , I hate em. Always finding shit but can't find a man to date em &#128530;&#9995;"
13610,3,1,2,0,1,"Nigga fuck hoe , ion want fuck yo hoe , she a fat chick &amp; she bad built &#128080;"
18403,3,0,3,0,1,RT @W0lfHaleighh: @kyle_leavitt96 @meowmariss bye bitch
8500,3,0,3,0,1,"But you.. Nvm @BJayBlast: I don't see why men disrespect women by calling them offensive names like ""bitch"", ""hoe"", ""slut"", or ""female"". Smh"
13191,3,0,2,1,1,Molly's that bitch you love when she comes but hate when she goes..
9242,3,0,0,3,2,"Every time I play a Patapon game and hear the ""Ushishi Theme"", I think of a beatboxing monkey. ""YO YO YO GET UPPA!!!"""
1541,6,0,6,0,1,&#8220;@Sair____: you lucky ashit if you got the shawty you want .. &#128527;&#128175;&#8221; a niggah just tryna keep her
12817,3,0,3,0,1,Lmao this bitch.
15767,3,0,3,0,1,"RT @HBCUfessions: Am I the only nigga that fucked a ""virgin"" expecting her to scream. She wasn't even moaning....bitch you not a virgin- FA&#8230;"
22644,3,0,0,3,2,Three little birds
13127,6,0,6,0,1,Me calling bout a nigga &#128564; shit for the birds. &amp; then a nigga that ain't fucking me &#128514; I do not fucking care
20909,3,0,3,0,1,Rambo bout to flex on these hoes
8319,3,0,3,0,1,Bitches will be bitches
3293,3,1,2,0,1,@FuckingCashBro you&#8217;re a little bitch x2
10439,3,0,3,0,1,I cut you out of my life for a reason you stupid bitch.. don't follow me on twitta
2884,3,0,1,2,2,@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?
24283,3,0,0,3,2,egg nog taste like what bird doodoo look like
23462,6,0,6,0,1,Work out hoe http://t.co/zOLMGuj5HK
7700,3,1,2,0,1,About all u can expect from a nicca that can barely talk! Lmao RT @SpaceJam_Teeg: @VonshayeB dude can't spell worth shit yo lol
13410,3,3,0,0,0,My neighbors be sick when i wake um up to all this nigger music ctfu
9395,3,0,2,1,1,Fluffy is a retard homeboy is calling a baby rattlesnake friend and kissing him! Baby rattlers will kill you man!! &#128563; http://t.co/pWFO8JHaOA
16397,3,0,3,0,1,RT @KingCuh: @16stanleys @TEE_JONEZ damn cuh. alu mohe my nigga just make sure you alu polosi ho nifo &#128561;
24775,3,0,3,0,1,niggas not stepping up they still tryna get back in the day kinda pussy lol
1006,3,1,2,0,1,&#128514;&#128514;&#128514; RT @A2daO: When a dyke get pregnant by mistake &gt;&gt;&gt;&gt;&gt;
12414,3,0,3,0,1,Jus a D nicca n the A!
24098,3,0,1,2,2,bats are cool as hell because they're basically half tiny fox half leather bird.
11848,3,0,3,0,1,If my friends don't wanna hangout my automatic response is to call them a bitch. Whoops.
12549,3,0,3,0,1,Kim K is alright but honestly so many niggas been in that I'd rather not.. And Miley got unfollowed that bitch is just strange.
18693,3,0,3,0,1,RT @_IBeKev: Throw me a blunt bitch
15163,3,0,3,0,1,RT @CuhCuhCuh: Hoes is Hoes niggas be mad cuhz they be tryna cuff the hoes cuh
18448,3,0,3,0,1,RT @WeLoveKi: Hol on bitch &#128553;&#128514;&#128557; https://t.co/RYESvYaI2u
23822,3,0,3,0,1,You just caught this bitch cheatin while you at work shes with some dude tryin to get off? FUCK slittin her throat CUT THIS BITCH'S HEAD OFF
8588,3,3,0,0,0,Can't stand that faggot.
19201,3,0,3,0,1,"RT @collegefession: ""I rub orange peels on my dick before I go out cuz I don't want these bitches to catch a cold. #VitaminSemen"" - Prairie&#8230;"
18622,3,0,3,0,1,RT @Z_MEGA: @Im_Yung_Jay grab me some bitches while u up there lmao oh and a belt ( fendi )
12430,6,0,6,0,1,"Just cuz he looked at you doesn't mean he likes you, hoe"
80,9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
11333,3,0,3,0,1,I was getting to the business while you was chasing the bitches
8307,3,0,3,0,1,Bitches don't even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches
18568,3,0,1,2,2,RT @Yankees: You may cry after watching the Derek Jeter @Gatorade ad: http://t.co/hMO9Bxol0x http://t.co/0xdlxToci8
1277,3,0,3,0,1,&#8220;@FliirtNextDoor: Phat pussy &#128525;&#128553;&#128166;&#128166;&#128166;&#128520;: http://t.co/Cbel8h29e1&#8221;that looks like a scrotum
16917,3,1,2,0,1,RT @Mr_JSmart24: Twitter was fye when niggas used to go in on Trending Topics&#8230;now its just recycled tweets and hoes screaming they want loy&#8230;
21623,3,0,3,0,1,Stolen from cream_2fly3xl lol but really guys I'm giving classes on keeping that bitch who's registering&#8230; http://t.co/HZAORfuv5X
25005,3,0,3,0,1,"that is what I do! RT @Tendilkar: RT @funnyorfact: The nicer you are, the easier you're hurt. So just be a bitch.."
6323,3,1,2,0,1,@iank12 bitch
1215,6,1,5,0,1,"&#8220;@CiscoAllDay: If Miley really got knocked up by Juicy J that shit is wild.... &#128563;&#8221; didn't he say ""u say no to ratchet pussy Juicy J can't"""
1985,3,0,3,0,1,&#8220;@vivaalakatyy: I just punched @victoriaaokk in the nose on accident because she just shocked the crap out of me &#128514;&#128514;&#128514;&#128514;&#8221; bitch that hurt!! &#128557;
15836,3,1,2,0,1,"RT @Hermit_Thrush: I suck a giant dick, i suck a skinny dick &#9835; i suck a faggot dick, i suck a nigger dick &#9835; i suck the dicks that remind me&#8230;"
1132,3,0,0,3,2,&#8220;@AntiGlib: RT @nateyfu123: #Yankees Michael Pineda in his next start.. http://t.co/Zb1zWN0jet&#8221; @954Nole
12899,3,0,3,0,1,"Lol RT @HURRICANESENSEI: @viaNAWF ""Just need to know what that pussy like so one time is fine with me"""
1305,3,0,0,3,2,&#8220;@GianneNichole: Lakers really trash.&#8221;&#128686;
14304,3,0,3,0,1,Quit hurting these women Cuz I'm tired of all the bitterness a nigga gotta go through Cuz you a hoe ass nigga.
14431,3,0,3,0,1,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair
1800,3,1,2,0,1,"&#8220;@flowerlela: Fucking slut&#8221;

FOREAL, fuck dat bitch."
19707,3,0,3,0,1,"RT @itsDorry: Attractive girls are always the most insecure... &#128589;

While these Shrek looking bitches, walk around thinking their the shit &#128129;"
1657,3,0,3,0,1,&#8220;@ZeeCobb: All I want for my birthday is a female with a large buttocks.&#8221; Big booty hoe
20226,3,0,3,0,1,"RT @officialbskip: I want a crazy bitch, they be loyal af &#128553;"
15460,3,0,2,1,1,RT @EisenbackEmily: I hate when people leave their trash in my car.
13736,3,0,3,0,1,No this bitch @Cee_Murda94 did not yell down the steps to tell me don't eat her damn chicken.&#128514;&#128514; tf
18243,3,0,3,0,1,RT @TrentSkii_Baby: &#8220;@1017_Sqquad: Fucking niggas bitches man I'm use to it&#8221;
4394,3,1,2,0,1,@Nick_504_ fuck what a nigga gonna do I wanna see it and tell that nigga to stop acting like a bitch then
19765,3,1,2,0,1,"RT @jburnone: Cheating ain't no accident hoe!
 fallin off a bike is a accident! 
I ain't never seen a bitch trip &amp; land on no dick!"
24788,3,0,3,0,1,no pills jus weed kill dat pussy all night damn right sho u right
15517,3,0,3,0,1,"RT @Fact: A female ""cock block"" is called a ""clam jam."""
13696,6,0,5,1,1,Night bitches. &#9996;
22426,3,0,2,1,1,This bitch got arrested on her wedding night for ordering $650 worth of food and didnt pay.. Shouldve ate the 2 for 20 at applebees.
20121,3,1,2,0,1,RT @mimi_rillo These bitches @virginiayumyum @ Fine Fare Supermarket http://t.co/kimIKVi0
20992,3,2,1,0,0,"Roses be red
Orchids be bigger 
Donts tell yo daddy
You fuckin a nigger 
#VDdie"
16710,3,0,0,3,2,"RT @MLBStatoftheDay: Since 1914, Derek Jeter&#8217;s 91 multi-hit games vs @RedSox are 4th most among @Yankees, behind Gehrig&#8217;s 121, Ruth&#8217;s 99 an&#8230;"
14490,3,1,2,0,1,RT @AllKnowA: We all know a bitch named Natalie
23267,3,0,3,0,1,Where's the pic of her standing again &#8220;@ArlisDoNotChill: This bitch looks like Voltorb http://t.co/7cWAtskJwC&#8221;
11683,3,3,0,0,0,I'm so sick of u niggers...
3566,6,0,6,0,1,@IdiotOlympics @ForTheMen fuck her right in the pussy
9775,6,0,6,0,1,Goodnight bitches (with a lisp)
14676,3,0,3,0,1,RT @BeYouTiful_Pris: Recognize that I'm a star player &amp; leave them hoe fans of yours alone. http://t.co/fd5Cioehgg
5093,3,0,3,0,1,"@TheOneMiss_Luu i know, hoe."
24021,3,0,3,0,1,a bitch in my math class right now is actually eating just straight up Nutella &#128563;#WEREYOURAISEDINABARN
13367,3,0,2,1,1,My high school need to gon and throw a hood reunion party. Everybody knows we was ghetto as hell.
4703,3,0,0,3,2,"@Ronnie2K not just @Pharrell gave 2k a trash non-basketball soundtrack, y'all still have problems with servers &#128530;"
19111,3,0,3,0,1,"RT @bruhlmaoo: When bae sings ""it ain't nothin to cut that bitch off"" with too much enthusiasm http://t.co/2rwY1h0D0F"
1463,3,0,3,0,1,&#8220;@NayMinaj_xo: @SkinnyBee__ LMAO my bitch was listening to gospel music w. liquor in her hand weaaakkk&#8221;lmfaooooooooo I was crying
3608,3,0,3,0,1,@InnerSlutty I got u bitch
15356,6,1,5,0,1,RT @DineroLoco_Bo: If a nigga fuck my bitch dats on ha cat .. but ima leave yu alone fa being trifling
4934,3,0,0,3,2,@StunningStina their tortillas are trash though.
2968,3,0,3,0,1,@Cotton_Candy9 god wrote em now think again coon
12248,3,0,3,0,1,It's going down it's going down it's going down lil bitch.
183,3,0,0,3,2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
11786,3,1,2,0,1,If I don't like that hoe I turn her ass into a frisbee
943,3,0,2,1,1,#vegas #bitch http://t.co/wbAqQ5vFpd
13491,6,0,6,0,1,N then the hoe sooooo ugly like bitch you ugly dog like dumb stupid ass ugly like &#128514;&#128514;&#128514;&#9996;&#65039;&#128129;&#128581;&#128076;&#128080;&#128080;
14586,3,0,0,3,2,RT @AwwAdorable: I want a pet monkey &#128553;&#128525; http://t.co/8wy8gDJIEJ
1693,3,0,3,0,1,&#8220;@__IamAnnaY: bitch gotta work all hard to clean that shit without ripping her skin&#8221; LMAOSJDUSUBEJS
22048,3,1,2,0,1,The most broke people have the most to say bitch nigga how can you afford to speak
5313,3,0,3,0,1,@WorldZWrestling Can we not use the word faggots?
1503,3,0,3,0,1,&#8220;@QuaTheGreat: Ready blow this bitch down &#128293; http://t.co/Y89Oj5Yh9M&#8221;Bring me 3 rellos
8255,3,0,2,1,1,"Bij vraag wat is d naam van de engels des doods,dacht eerst Robert.Ik:Israel..uhm iets met Gargamel,hoe heet die kat ook al weer..oja Azrael"
8706,3,0,2,1,1,Chocolate cake is so trash.
18691,3,0,3,0,1,RT @_HolySmokes: If you can't eat pussy that's got hair on it I'm not even sure you really know how to eat pussy.
20813,6,0,6,0,1,RT @xPoppinWheelies: &#8220;@1stBlocJeremiah: All y'all bitches corny lol&#8221;rt
24686,3,0,3,0,1,lol ok cunt
17924,6,0,6,0,1,RT @TIKOAMG: Social network got bitches heads like &#128553; http://t.co/BHMUO4x4VU
15325,3,0,3,0,1,RT @Deemazz_70: @JMcCown11 got all the bitches http://t.co/A3gF4iAPS9
1518,3,0,3,0,1,"&#8220;@RevDennisMiller: True nothing shuts up libdog bitches who like to bark at anything @Punt_Cuncher&#8221;
THAT'S CALLED...PREACHING THE TRUTH!"
11792,3,0,3,0,1,If I had a dollar for every time someone called me Maggie I'd make it rain on all these hoes
11834,3,0,3,0,1,"If her bio says ""Only God can judge me"" she's a hoe."
14380,3,0,3,0,1,"RT @5200LorA: im pregnant ass bitches , matter fact ima slip down the steps ass bitches"
10868,3,0,3,0,1,I just need to know what that pussy like so one time is fine with me - drizzy lol
24204,3,0,3,0,1,"cause all my life I was told and taught I am not shit by you wack fucking giant sacks of lying dog shit, now you shut up bitch."
6980,3,0,1,2,2,@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to
10263,3,0,3,0,1,"I ain't no bitch no more, i got my license. :D"
2709,3,0,0,3,2,@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.
5168,3,1,2,0,1,@TomcatStraight Come over queer
1475,6,0,6,0,1,&#8220;@NoGovy: Smh bitches are such haters !!! How dare they do this to her #blackgirls #jealousy http://t.co/i2nnm1Z1&#8221; YOOO LOOOL
20039,3,0,3,0,1,RT @maNIJEEtwa_: you can ride for a nigga ya whole life new pussy fuck it up in one night
1628,3,0,3,0,1,&#8220;@UnLike_Society: Good pussy be making a nigga have to regroup&#8221; pull out and get your thoughts together&#128514;&#128514;
18542,3,0,3,0,1,RT @YaaBoyShiki: How the fuck can some people not get atleast 1 on flappy bird. I just got 11 while smoking a fuckin square.
21682,3,0,3,0,1,Summer hoes turning into winter wifeys &#128553;
13493,9,3,4,2,1,NBA ALLSTAR weekend is an unofficial negro holiday
1574,3,0,3,0,1,"&#8220;@TKetterhagen: &#8220;@lars_matthews: &#8220;@Nspan17: I really only like like 3 people in this town, everyone else is a faggot&#8221; me&#8221; me&#8221; me"
19284,3,0,0,3,2,"RT @dbrend99: Even if you hate the Yankees there is no way you can't like Derek Jeter, he is one of the classiest and most respectful playe&#8230;"
23658,3,0,3,0,1,Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long
5682,3,0,3,0,1,@angelo_GL oh yea a-lo aka mr bitches lmao
6251,3,0,0,3,2,@heavensenttynae nd you kno how much I love clams lol
6418,3,0,3,0,1,@jeffjam @toddgunter @cgoodwoman They do. Why else do teachers constantly bitch about pay?
17528,3,0,3,0,1,RT @RuNeshaShamia: Drunk inlove with my gun bae bitch Beyonc&#233; &#128520;&#128527;
10110,3,0,3,0,1,Hoe bitches act up i turn chris breezy
3678,3,0,3,0,1,@J_Dun54 oh you little bitch you. You tryna hit the fair tho today or sometime this week? Shit might be fun drunk
9183,3,2,1,0,0,Ebola sounds like a hood hoe
20670,3,2,0,1,0,"RT @trentlilweezy: ""you are trash""

me: http://t.co/nX2tqImO2a"
10338,3,0,3,0,1,I been getting money I ain't worried bout a hoe &#128175;&#128584;&#9996;&#65039;&#128526;&#128081;&#128076;&#128591;&#128129;
14551,3,0,3,0,1,RT @AnunnakiGod: bitch what ocean is this?? http://t.co/YLkR2GeJ1Z
353,4,0,3,1,1,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye .."
20109,3,0,3,0,1,"RT @michellemalkin: Good morning to you, too, sunshine! RT @miembrotropa: @michellemalkin dirty bitch"
15058,3,0,3,0,1,"RT @CjayyTaughtHer: Eat her pussy when she mad, sad, stressed, mad at you, or whatever shit just lay her down and eat her pussy up &#128076;&#128069;&#128166;"
12668,3,0,3,0,1,Let me go on my block phase cause you hoes steady coming for me &#128299;&#128299;&#128299;
5208,3,2,1,0,0,@TweetfrmtheSole it&#8217;s the entire pats bandwagon. They&#8217;re faggots
19444,3,0,3,0,1,RT @fucktheseHOES__: Hate a bitch that run her mouth .
19000,3,0,3,0,1,"RT @assholejaay: does being on my dick make any of yall hoes feel relevant ? if so , re evaluate your WHOLE life .. thanks"
1483,3,0,3,0,1,"&#8220;@OGeezLouise: Bout time 
 RT @JoeBudden: Some of these chicks don&#8217;t want a man, they just want support.&#8221; Tell that bitch to get a bra"
15832,3,0,0,3,2,RT @Henry_3k: When I was little I remember laying horrified in bed as hand puppets held a mock trial convicting me of putting my hand up th&#8230;
7750,3,0,3,0,1,Ain't shit pretty but my bitch and my momma anyone can get the drama
6743,3,2,1,0,0,"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta"""
